ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1973,New Orleans,LA,29.960372,-90.064201
2,Anita's,514 Ursulines Ave,Bar,Mixed Gender,,,1973,New Orleans,LA,29.960062,-90.060392
3,Annex,740 Burgundy St.,Bar,Mixed Gender,,,1973,New Orleans,LA,29.960546,-90.066685
4,Bank Theatre and Book Store,941 Decatur St,Adult Theatre,Male,,,1973,New Orleans,LA,29.959091,-90.060828
5,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1973,New Orleans, LA,29.960447,-90.06822
6,Burgundy Bar,704 Burgundy St,Bar,Mixed gender,,,1973,New Orleans,LA,29.960288,-90.066919
7,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1973,New Orleans,LA,29.957561,-90.061854
8,Canal Baths,512 Gravier St,Bathhouse,Male,,,1973,New Orleans,LA,29.950238,-90.06726
9,Ched's,4139 St Charles Ave,Restaurant,Mixed,,,1973,New Orleans,LA,29.926883,-90.099564
10,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1973,New Orleans,LA,29.956253,-90.063877
11,Emy's,918 Royal St.,Restaurant,N/A,,,1973,New Orleans,LA,29.959986,-90.062906
12,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1973,New Orleans,LA,29.958455,-90.065271
13,Finale II,642 N.Rampart St,Bar,Male,,,1973,New Orleans,LA,29.960313,-90.068384
14,Galley House,542 Chartres St,Bar,Male,Noted as popular in Damron's address book (1970),,1973,New Orleans,LA,29.956124,-90.064866
15,Gene's Hide-a-way,608 Iberville,Bar,Male,,,1973,New Orleans,LA,29.953607,-90.067679
16,Gertrude's,125 Chartres St,Bar,Male,,,1973,New Orleans,LA,29.953272,-90.067734
17,Golden Lantern,1239 Royal St,Bar,N/A,,-Present,1973,New Orleans,LA,29.962737,-90.0606
18,Jeremiah’s,501 Dauphine St.,Restaurant,Mixed,,,1973,New Orleans,LA,29.957753,-90.06793
19,Kitty's 'Grog',718 N.Rampart,Bar,Male,,,1973,New Orleans,LA,29.960733,-90.067993
20,Kitty's Kitchen,728 N. Rampart St.,Restaurant,Male,,,1973,New Orleans,LA,29.96103,-90.067734
21,Marriot Hotel Snack Bar,555 Canal St,Restaurant,Mixed,open late,,1973,New Orleans,LA,29.95288,-90.067333
22,Marti's,1041 Dumaine St,Restaurant,Mixed,,,1973,New Orleans,LA,29.961981,-90.066478
23,Maxey's Coffee Pot,714 St Peter St.,Restaurant,N/A,,,1973,New Orleans,LA,29.958152,-90.065155
24,Metropolitan Community Church,1375 Magazine St,Church,Mixed Gender,,,1973,New Orleans,LA,29.936586,-90.071948
25,My-O-My Club,940 Conti St,Bar,Mixed,,,1973,New Orleans,LA,29.957212,-90.06928
26,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1973,New Orleans,LA,29.96046,-90.062301
27,Pete's '800',800 Bourbon St,Bar,Male,,,1973,New Orleans,LA,29.959493,-90.064741
28,Powder Puff Revue,321 Bourbon St.,Bar,Mixed,touristy,,1973,New Orleans,LA,29.956057,-90.068297
