ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1978,New Orleans,LA,29.960372,-90.064201
2,Apple Barrel,1940 Dauphine,Restaurant,Mixed,,,1978,New Orleans,LA,29.965361,-90.059095
3,Bonaparte's Retreat,1007 Decatur,Bar,Mixed,,,1978,New Orleans,LA,29.959336,-90.060602
4,Bourbon Pub,801 Bourbon St,Bar,Male,,,1978,New Orleans,LA,29.959599,-90.064914
5,Bourgoyne Guest House,839 Bourbon St,Hotel,Male,,,1978,New Orleans,LA,29.96019,-90.064359
6,Burgundy St. Market,836 Burgundy St,Restaurant,Mixed,,,1978,New Orleans,LA,29.961345,-90.065951
7,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1978,New Orleans, LA,29.960447,-90.06822
8,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1978,New Orleans,LA,29.957561,-90.061854
9,Camp Baths,512 Gravier St,Bathhouse,Male,,,1978,New Orleans,LA,29.950238,-90.06726
10,Camp News,615 Common St,Store,Male,Book store,,1978,New Orleans,LA,29.951948,-90.069033
11,Canal Baths,738 N Rampart St,Bathhouse,Male,,,1978,New Orleans,LA,29.960579,-90.068153
12,Charlene's,940 Elysian Fields,Bar,Unisex,,,1978,New Orleans,LA,29.967338,-90.05709
13,Club Gemini Baths,1129-31 Decatur St,Bathhouse,Male,,,1978,New Orleans,LA,29.96048,-90.059587
14,Club Midship,606 Iberville,Bar,Male,,,1978,New Orleans,LA,29.953578,-90.067636
15,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1978,New Orleans,LA,29.956253,-90.063877
16,Lafittes Corral,901 Bourbon St,Bar,Male,Above Lafitte's in Exile,,1978,New Orleans,LA,29.960372,-90.064201
17,Country Club,634 Louisa St,Bar,Male,Also has restaurant,,1978,New Orleans,LA,29.962935,-90.044028
18,Decatur House,1119 Decatur,Restuarant,Mixed,,,1978,New Orleans,LA,29.960426,-90.059912
