ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1977,New Orleans,LA,29.960372,-90.064201
2,Bank Theatre and Book Store,941 Decatur St,Adult Theatre,Male,,,1977,New Orleans,LA,29.959091,-90.060828
3,Bourbon Pub,801 Bourbon St,Bar,Male,,,1977,New Orleans,LA,29.959599,-90.064914
4,Brady's,700 N. Rampart St,Bar,Mixed gender,,,1977,New Orleans, LA,29.960447,-90.06822
5,Burgundy House,704 Burgundy St,Bar,Mixed gender,,,1977,New Orleans,LA,29.960288,-90.066919
6,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1977,New Orleans,LA,29.957561,-90.061854
7,Camp News,615 Common St,Store,Male,Book store,,1977,New Orleans,LA,29.951948,-90.069033
8,Canal Baths,738 N Rampart St,Bathhouse,Male,,,1978,New Orleans,LA,29.960579,-90.068153
9,Chopping Block,1017 Dumaine St.,Restaurant,Mixed,,,1977,New Orelans,LA,29.961705,-90.066136
10,Club Midship,606 Iberville,Bar,Male,,,1977,New Orleans,LA,29.953578,-90.067636
11,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1977,New Orleans,LA,29.956253,-90.063877
12,Lafittes Corral,901 Bourbon St,Bar,Male,Above Lafitte's in Exile,,1977,New Orleans,LA,29.960372,-90.064201
13,Dirty Dottie's Cleaners,826 N. Rampart St,Store,N/A,'good source for local info' Damron '78,,1977,New Orleans,LA,29.961532,-90.067303
14,Eighteenth Street News,3800 Hessmer Ave,Unclear,N/A,,,1977,New Orleans,LA,30.008992,-90.163966
15,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1977,New Orleans,LA,29.958455,-90.065271
16,Finale II,642 N.Rampart St,Bar,Male,,,1977,New Orleans,LA,29.960313,-90.068384
17,Forty-One Forty-One,4141 St Charles Ave,Bar,Mixed,,,1977,New Orleans,LA,29.926882,-90.099616
18,Franklin News,1140 Franklin Ave,Unclear,N/A,,,1977,New Orleans,LA,29.927479,-90.049439
19,Galley House,542 Chartres St,Bar,Male,,,1977,New Orleans,LA,29.956124,-90.064866
20,Golden Lantern,1239 Royal St,Bar,Male,,-Present,1977,New Orleans,LA,29.962737,-90.0606
21,Good Friends,740 Dauphine St,Bar,Mixed,,,1977,New Orleans,LA,29.959945,-90.065748
22,Grog Shop,718 N.Rampart,Bar,Mixed Gender,,,1977,New Orleans,LA,29.960733,-90.067993
23,Hitching Post,801 Bourbon St,Bar,Male,In back room of Bourbon Pub,,1977,New Orleans,LA,29.959599,-90.064914
24,Ichabod's,701 Bourbon St,Bar,Mixed,,,1977,New Orleans,LA,29.958715,-90.065675
25,Igor's Lounge and Game Room,2133 St. Charles Ave,Bar,Male,,,1977,New Orleans,LA,29.934565,-90.080534
26,Jonathan's,714 N. Rampart St,Restaurant,Mixed,,,1977,New Orleans,LA,29.96068,-90.068049
27,Lautrec,514 Toulouse,Restaurant,Mixed,,,1977,New Orleans,LA,29.956142,-90.064001
28,Le Bistro,800 Bourbon St,Bar,Male,,,1977,New Orleans,LA,29.959493,-90.064741
29,Marti's,1041 Dumaine St,Restaurant,Mixed,,,1977,New Orleans,LA,29.961981,-90.066478
30,Maxey's Coffee Pot,714 St Peter St.,Restaurant,Mixed,,,1977,New Orleans,LA,29.958152,-90.065155
31,Metropolitan Community Church,1934 Burgundy St,Church,Mixed Gender,,,1977,New Orleans,LA,29.966245,-90.059337
32,Midtown News,4069 Tulane,Unclear,N/A,,,1977,New Orleans,LA,29.968809,-90.10565
33,Mr Perky's Pancake House,541 Bourbon St,Restaurant,Mixed,Downtower Motor Inn,,1977,New Orleans,LA,29.95775,-90.066653
34,Ms. Kitty's,740 Burgundy St,Bar,Mixed Gender,,,1977,New Orleans,LA,29.960546,-90.066685
35,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1977,New Orleans,LA,29.96046,-90.062301
36,Old Chelsea Theatre,829 Camp St,Adult Theatre,male,cruisy,,1977,New Orleans,LA,29.945174,-90.070667
37,Parade,801 Bourbon St,Bar,Male,Above Bourbon Pub,,1977,New Orleans,LA,29.959599,-90.064914
38,Pellican News,4233 St. Claude st,Unclear,N/A,,,1977,New Orleans,LA,29.965254,-90.032569
38,Post Office,940 St Louis,Bar,Male,,,1977,New Orleans,LA,29.958144,-90.068855
