ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1970,New Orleans,LA,29.960372,-90.064201
2,Burgundy Bar,704 Burgundy St,Bar,Mixed,,,1970,New Orleans,LA,29.960288,-90.066919
3,Canal Baths,512 Gravier St,Bathhouse,Male,,,1970,New Orleans,LA,29.950238,-90.06726
4,Cavern's,901 Bourbon St,Bar,N/A,Same address as Café Lafitte in Exile,,1970,New Orleans,LA,29.960372,-90.064201
5,Coffee Pot,714 St Peter St,Restaurant,Mixed,,,1970,New Orleans,LA,29.958353,-90.0653
6,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1970,New Orleans,LA,29.958455,-90.065271
7,French Bull, 700 N. Rampart,Bar,Male,Includes the Zodiac Room private members club,,1970,New Orleans,LA,29.960447,-90.06822
8,Galley House,542 Chartres St,Bar,Male,Noted as popular in Damron's address book (1970),,1970,New Orleans,LA,29.956124,-90.064866
9,Golden Lantern,1239 Royal St,Bar,N/A,,-Present,1970,New Orleans,LA,29.962737,-90.0606
10,Grog,718 N.Rampart,Bar,Mixed,,,1970,New Orleans,LA,29.960733,-90.067993
11,Kookie's,1210 N. Rampart,Bar,Mixed,,,1970,New Orleans,LA,29.964602,-90.064554
12,Lafitte's Annex,740 Burgundy St,Bar,Male,An offshoot of Lafitte in Exile,,1970,New Orleans,LA,29.960546,-90.066685
13,Manny's Den,740 Brugundy St,Bar,Male,same address as Lafitte's Annex,,1970,New Orleans,LA,29.960546,-90.066685
14,Mom's Society Page,819 St. Louis St,Bar,Male,'raunchy types' and noted as popular by Damron,,1970,New Orleans,LA,29.957524,-90.067308
15,Speakeasy,834 N.Rampart,Bar,Mixed,has shows,,1970,New Orleans,LA,29.961865,-90.066943
16,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1970,New Orleans,LA,29.95412,-90.068435
17,Mr. D's,600 Dauphine St,Bar,Male,'raunchy types',,1970,New Orleans,LA,29.958451,-90.067102
18,Pete's Place,800 Bourbon St,Bar,Male,noted as popular with young and college students by Damron,,1970,New Orleans,LA,29.959516,-90.064689
19,Miss Juice's Lounge, 615 Iberville,Bar,Male,,,1970,New Orleans,LA,29.953613,-90.067375
20,Duke's Tavern,202 N.Corcoran St,Bar,Male,Inside the Jack Tar Hotel,,1970,Durham,NC,35.996403,-78.901399
21,Cross Keys,1129 Market St,Bar,Male,,,1970,Chattanooga,TN,35.043264,-85.309438
22,Pizza Palace,3101 Brainerd Rd,Bar,Mixed,,,1970,Chattanooga,TN,35.027674,-85.255486
23,Andrew Jackson Hotel Bar,918 S.Gay St, Bar,Mixed,,,1970,Knoxville,TN,35.961594,-83.916006
24,Huddle,219 Cumberland Ave,Bar,Male,Noted as popular in Damron's address book,,1970,Knoxville,TN,35.962997,-83.91601
25,Tradewinds,717 Franklin Rd,Bar,Mixed,,,1970,Roanoke,VA,37.267101,-79.946384



