ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude

1,Café Lafitte in Exile,901 Bourbon St,Bar,Male,Longest continuously runnning gay bar in the United States,1933-Present,1972,New Orleans,LA,29.960372,-90.064201
2,Ali Baba Baths,310 St. Charles Ave,Bathhouse,Male,,,1972,New Orleans,LA,29.951436,-90.070009
3,Anita's,514 Ursulines Ave,Bar,Mixed Gender,,,1972,New Orleans,LA,29.960062,-90.060392
4,Annex,740 Burgundy St.,Bar,Mixed Gender,,,1972,New Orleans,LA,29.960546,-90.066685
5,Bank Theatre and Book Store,941 Decatur St,Adult Theatre,Male,,,1972,New Orleans,LA,29.959091,-90.060828
6,Buddha,642 N.Rampart St,Bar,Male,,,1972,New Orleans,LA,29.960313,-90.068384
7,Burgundy Bar,704 Burgundy St,Bar,Mixed,,,1972,New Orleans,LA,29.960288,-90.066919
8,Café du Monde,French Market Decatur at St.Anne,Restaurant,Mixed,Touristy but a ‘must’ for morning coffee & Doughnuts,,1972,New Orleans,LA,29.957561,-90.061854
9,Canal Baths,512 Gravier St,Bathhouse,Male,,,1972,New Orleans,LA,29.950238,-90.06726
10,Cavern's,801 Bourbon St,Bar,N/A,,,1972,New Orleans,LA,29.959599,-90.064914
11,Club New Orleans Baths,515 Toulouse Ave.,Bathhouse,Male,Noted as popular,,1972,New Orleans,LA,29.956253,-90.063877
12,Emy's,918 Royal St.,Restaurant,N/A,,,1972,New Orleans,LA,29.959986,-90.062906
13,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1972,New Orleans,LA,29.958455,-90.065271
14,Galley House,542 Chartres St,Bar,Male,Noted as popular in Damron's address book (1970),,1972,New Orleans,LA,29.956124,-90.064866
15,Gertrude's,125 Chartres St,Bar,Male,,,1972,New Orleans,LA,29.953272,-90.067734
16,Golden Lantern,1239 Royal St,Bar,N/A,,-Present,1972,New Orleans,LA,29.962737,-90.0606
17,Kitty's 'Grog',718 N.Rampart,Bar,Mixed,,,1972,New Orleans,LA,29.960733,-90.067993
18,Lafitte Guest House,1003 Bourbon St.,Hotel/Motel,N/A,,,1972,New Orleans,LA,29.961263,-90.063553
19,Marti's,1041 Dumaine St,Restaurant,Mixed,,,1972,New Orleans,LA,29.961981,-90.066478
20,Maxey's Coffee Pot,714 St Peter St.,Restaurant,Mixed,,,1972,New Orleans,LA,29.958152,-90.065155
21,My-O-My Club,940 Conti St,Bar,Mixed,,,1972,New Orleans,LA,29.957212,-90.06928
22,David's,800 Bourbon St.,Bar,Male,,,1972,New Orleans,LA,29.959516,-90.064689
23,Powder Puff Revue,321 Bourbon St.,Bar,Mixed,touristy,,1972,New Orleans,LA,29.956057,-90.068297
24,Quarter Horse,507 St. Louis St.,Bar,mixed gender,,,1972,New Orleans,LA,29.955299,-90.064333
25,Rod's Bar,625 St. Phillip St.,Bar,Male,,,1972,New Orleans,LA,29.96031,-90.062186
26,Safari Lounge, 706 Iberville (upstairs),Bar,Mixed,noted as 'blacks frequent' by Damron,,1972,New Orleans,LA,29.954093,-90.068386
27,Society Page,819 St Louis St.,Bar,Male,'raunchy types,,1972,New Orleans,LA,29.957524,-90.067308
28,Speakeasy,834 N.Rampart,Bar,Mixed,has shows,,1972,New Orleans,LA,29.961865,-90.066943
29,Street Car,901 Bourbon St,Restaurant,Male,,,1972,New Orleans,LA,29.960372,-90.064201
30,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1972,New Orleans,LA,29.956309,-90.065688
31,Upstairs Lounge,604 Iberville,Bar,Mixed Gender,,,1972,New Orleans,LA,29.953471,-90.067473
32,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1972,New Orleans,LA,29.961348,-90.062225
33,Vicki's,541 Decatur St.,Bar,Mixed,,,1972,New Orleans,LA,29.955944,-90.063700
34,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1972,New Orleans,LA,29.95412,-90.068435
35,Wanda Stump’s Lounge,820 N. Rampart St,Bar,Male,,,1972,New Orleans,LA,29.961496,-90.067336
36,Duke's Tavern,202 N.Corcoran St,Bar,Male,Inside the Jack Tar Hotel,,1972,Durham,NC,35.996403,-78.901399
37,Cross Keys,1129 Market St,Bar,Male,,,1972,Chattanooga,TN,35.043264,-85.309438
38,Andrew Jackson Hotel Bar,918 S.Gay St, Bar,Mixed,,,1972,Knoxville,TN,35.961594,-83.916006
39,Huddle,219 Cumberland Ave,Bar,Male,Noted as popular in Damron's address book,,1972,Knoxville,TN,35.962997,-83.91601
40,Tradewinds,717 Franklin Rd,Bar,Mixed,,,1972,Roanoke,VA,37.267101,-79.946384
41,Long Branch Cafe,124 E.Market,Bar,N/A,,,1972,Johnson City,TN,36.317207,-82.35194
42,North Gay Cafe,315 N. Gay St.,Bar,Mixed,,,1972,Knoxville,TN,35.970045,-83.922242
43,Hornes Motel Bar,164 Tunnel Rd,Bar,Mixed,,,1972,Asheville,NC,35.589023,-82.529899
44,Hideaway,207 Gay St,Bar,Mixed,,,1972,Knoxville,TN,35.967714,-83.91987
45,Belle Rêve,2110 Barracks,Home,Mixed,Where Southern Decadence began,,1972,New Orleans,LA,29.971256,-90.073209
46,St James Church,4515 Delray St NW,Community Centre,Mixed Gender, Meeting sport for the Gay Alliance of the Roanoke Valley,,1972,Roanoke,VA,37.313271,-79.953957







